epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8087,1.93818,4.13389,2.03163,0,0,0,0,1.02983,3.77364,1.22165,6.37e-05,6.37e-05,6.37e-05
2,35.6259,1.64264,4.06959,1.82706,0,0,0,0,1.44118,3.80583,1.46306,0.000129337,0.000129337,0.000129337
3,44.9853,1.57919,3.83437,1.74322,0.23545,0.38324,0.29689,0.18145,1.23997,3.63873,1.28439,0.000192272,0.000192272,0.000192272
4,50.1712,1.51124,3.47152,1.65214,0.09513,0.44657,0.30392,0.17249,1.36871,3.24713,1.35101,0.000252504,0.000252504,0.000252504
5,56.5985,1.52825,3.12406,1.70555,0.9606,0.20523,0.37807,0.20723,1.46482,2.63744,1.43781,0.000310033,0.000310033,0.000310033
6,62.9048,1.53555,2.7073,1.6879,0.94418,0.29228,0.39461,0.20099,1.61161,2.35481,1.55311,0.00036486,0.00036486,0.00036486
7,69.5118,1.57015,2.44224,1.69598,0.92305,0.37946,0.6036,0.36376,1.36368,1.40552,1.3567,0.000400946,0.000400946,0.000400946
8,76.2758,1.55348,2.23029,1.67556,0.81481,0.70543,0.72798,0.36711,1.55127,1.20148,1.45675,0.000391937,0.000391937,0.000391937
9,82.5728,1.51287,1.91737,1.64101,0.81209,0.71641,0.74506,0.38598,1.60567,1.30313,1.53383,0.000382928,0.000382928,0.000382928
10,88.9736,1.47826,1.84726,1.62207,0.78634,0.62014,0.71082,0.35417,1.5765,1.21266,1.50331,0.000373919,0.000373919,0.000373919
11,96.6142,1.47991,1.80338,1.63204,0.85768,0.70312,0.7955,0.36709,1.6062,1.20517,1.54541,0.00036491,0.00036491,0.00036491
12,102.984,1.44538,1.67746,1.60155,0.76202,0.72179,0.82213,0.40489,1.63925,1.07194,1.57495,0.000355901,0.000355901,0.000355901
13,110.284,1.39524,1.64945,1.5625,0.77112,0.7701,0.87407,0.43999,1.44757,1.00453,1.43035,0.000346892,0.000346892,0.000346892
14,115.867,1.39009,1.5759,1.557,0.88629,0.85558,0.91349,0.45524,1.54076,0.91929,1.51379,0.000337883,0.000337883,0.000337883
15,122.599,1.39346,1.51846,1.56585,0.76977,0.80425,0.81289,0.44024,1.34891,0.86829,1.35667,0.000328874,0.000328874,0.000328874
16,128.47,1.35691,1.48643,1.52705,0.85445,0.87373,0.90842,0.48679,1.39073,0.8926,1.35933,0.000319865,0.000319865,0.000319865
17,135.014,1.41019,1.50741,1.54669,0.85361,0.81552,0.86122,0.49465,1.42057,0.83055,1.35935,0.000310856,0.000310856,0.000310856
18,141.076,1.33031,1.3761,1.4825,0.86347,0.81327,0.86897,0.40977,1.54682,0.88062,1.4467,0.000301847,0.000301847,0.000301847
19,147.645,1.37039,1.40308,1.51028,0.93074,0.8381,0.9147,0.49077,1.28247,0.75142,1.27117,0.000292838,0.000292838,0.000292838
20,153.958,1.30239,1.37938,1.48164,0.83899,0.78809,0.87273,0.41908,1.63076,0.81482,1.50421,0.000283829,0.000283829,0.000283829
21,160.036,1.31111,1.34113,1.47556,0.80346,0.81298,0.87494,0.48657,1.34728,0.77285,1.33204,0.00027482,0.00027482,0.00027482
22,166.582,1.31406,1.37047,1.50894,0.73294,0.88656,0.86655,0.46651,1.39739,0.80672,1.35115,0.000265811,0.000265811,0.000265811
23,172.861,1.30089,1.31122,1.47361,0.93731,0.84048,0.91169,0.45552,1.35973,0.80525,1.3342,0.000256802,0.000256802,0.000256802
24,179.668,1.26704,1.3284,1.47328,0.87868,0.84868,0.89987,0.45523,1.41802,0.77261,1.38407,0.000247793,0.000247793,0.000247793
25,185.695,1.2346,1.23131,1.43199,0.8579,0.85301,0.86214,0.42409,1.53988,0.78517,1.46532,0.000238784,0.000238784,0.000238784
26,192.263,1.24586,1.21404,1.4143,0.90549,0.84787,0.86735,0.50335,1.19073,0.72156,1.23425,0.000229775,0.000229775,0.000229775
27,198.295,1.21416,1.2273,1.39739,0.93097,0.88398,0.9115,0.46997,1.42992,0.73272,1.38661,0.000220766,0.000220766,0.000220766
28,205.087,1.24693,1.25963,1.44459,0.92132,0.88135,0.91686,0.50145,1.32901,0.67229,1.32309,0.000211757,0.000211757,0.000211757
29,211.013,1.23283,1.18832,1.42022,0.94004,0.8911,0.92009,0.46367,1.34958,0.68736,1.31906,0.000202748,0.000202748,0.000202748
30,217.673,1.20638,1.20598,1.39716,0.94356,0.87419,0.9196,0.48329,1.29881,0.69873,1.27429,0.000193739,0.000193739,0.000193739
31,223.369,1.18292,1.16029,1.38832,0.95392,0.86541,0.9238,0.50495,1.30067,0.68925,1.26696,0.00018473,0.00018473,0.00018473
